DATA,PERCENTUAL
2021-01-17,0
2021-01-18,0
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,0
2021-01-25,0
2021-01-26,0
2021-01-27,0
2021-01-28,0
2021-01-29,0
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,0
2021-02-04,0
2021-02-05,0
2021-02-06,0.01
2021-02-07,0.01
2021-02-08,0.02
2021-02-09,0.02
2021-02-10,0.04
2021-02-11,0.05
2021-02-12,0.08
2021-02-13,0.09
2021-02-14,0.1
2021-02-15,0.13
2021-02-16,0.26
2021-02-17,0.34
2021-02-18,0.42
2021-02-19,0.5
2021-02-20,0.53
2021-02-21,0.55
2021-02-22,0.61
2021-02-23,0.67
2021-02-24,0.75
2021-02-25,0.82
2021-02-26,0.88
2021-02-27,0.9
2021-02-28,0.9
2021-03-01,0.95
2021-03-02,1.01
2021-03-03,1.09
2021-03-04,1.16
2021-03-05,1.23
2021-03-06,1.26
2021-03-07,1.28
2021-03-08,1.34
2021-03-09,1.4
2021-03-10,1.49
2021-03-11,1.55
2021-03-12,1.63
2021-03-13,1.67
2021-03-14,1.67
2021-03-15,1.72
2021-03-16,1.78
2021-03-17,1.84
2021-03-18,1.89
2021-03-19,1.93
2021-03-20,1.94
2021-03-21,1.95
2021-03-22,1.99
2021-03-23,2.03
2021-03-24,2.09
2021-03-25,2.13
2021-03-26,2.18
2021-03-27,2.19
2021-03-28,2.2
2021-03-29,2.26
2021-03-30,2.32
2021-03-31,2.39
2021-04-01,2.46
2021-04-02,2.48
2021-04-03,2.51
2021-04-04,2.53
2021-04-05,2.63
2021-04-06,2.76
2021-04-07,2.86
2021-04-08,3
2021-04-09,3.21
2021-04-10,3.28
2021-04-11,3.31
2021-04-12,3.47
2021-04-13,3.63
2021-04-14,3.82
2021-04-15,4.02
2021-04-16,4.3
2021-04-17,4.46
2021-04-18,4.5
2021-04-19,4.78
2021-04-20,5.03
2021-04-21,5.13
2021-04-22,5.35
2021-04-23,5.76
2021-04-24,5.87
2021-04-25,5.9
2021-04-26,6.18
2021-04-27,6.57
2021-04-28,6.86
2021-04-29,7.12
2021-04-30,7.36
2021-05-01,7.42
2021-05-02,7.44
2021-05-03,7.64
2021-05-04,7.84
2021-05-05,8.01
2021-05-06,8.14
2021-05-07,8.27
2021-05-08,8.31
2021-05-09,8.32
2021-05-10,8.48
2021-05-11,8.62
2021-05-12,8.75
2021-05-13,8.82
2021-05-14,8.9
2021-05-15,8.95
2021-05-16,8.99
2021-05-17,9.11
2021-05-18,9.24
2021-05-19,9.34
2021-05-20,9.47
2021-05-21,9.59
2021-05-22,9.65
2021-05-23,9.75
2021-05-24,9.89
2021-05-25,10.03
2021-05-26,10.14
2021-05-27,10.23
2021-05-28,10.35
